"conc","well","chemical.id","plate.id","Interval","Movement"
" 0","B02","1174","19843","R",0
" 0","B03","1174","19843","R",0.002712671875
" 0","B04","1174","19843","R",0
" 0","B06","1174","19843","R",0.002712671875
" 0","B07","1174","19843","R",0.002712671875
" 0","B08","1174","19843","R",0
" 0","B09","1174","19843","R",0
" 0","B10","1174","19843","R",0.002712671875
" 0","B11","1174","19843","R",0.3417970859375
" 0","B12","1174","19843","R",0
" 0","A01","1174","19902","R",0
" 0","A03","1174","19902","R",0.23600234375
" 0","A04","1174","19902","R",0
" 0","A05","1174","19902","R",0.2305774765625
" 0","A06","1174","19902","R",0
" 0","A07","1174","19902","R",0
" 0","A08","1174","19902","R",0
" 0","A09","1174","19902","R",0
" 0","A10","1174","19902","R",0.7080079140625
" 0","A11","1174","19902","R",0
" 0","A12","1174","19902","R",0
" 0","B01","1174","19902","R",0
" 0","B02","1174","19902","R",0
" 0","B03","1174","19902","R",0
" 0","B04","1174","19902","R",0.957573625
" 0","B05","1174","19902","R",0
" 0","B06","1174","19902","R",0.0379774375
" 0","B07","1174","19902","R",1.3156464765625
" 0","B08","1174","19902","R",0
" 0","B09","1174","19902","R",0.0081380234375
" 0","B10","1174","19902","R",0
" 0","B11","1174","19902","R",0
" 0","B12","1174","19902","R",0
" 0","A01","1174","19903","R",0.2848303671875
" 0","A02","1174","19903","R",0.374348796875
" 0","A03","1174","19903","R",0.65646721875
" 0","A04","1174","19903","R",0
" 0","A05","1174","19903","R",0.38248690625
" 0","A06","1174","19903","R",0
" 0","A07","1174","19903","R",0
" 0","A08","1174","19903","R",0
" 0","A09","1174","19903","R",0
" 0","A10","1174","19903","R",0
" 0","A11","1174","19903","R",0.002712671875
" 0","A12","1174","19903","R",0
" 0","B01","1174","19903","R",0
" 0","B02","1174","19903","R",0
" 0","B03","1174","19903","R",0
" 0","B04","1174","19903","R",0.002712671875
" 0","B05","1174","19903","R",0
" 0","B07","1174","19903","R",0
" 0","B08","1174","19903","R",0.002712671875
" 0","B09","1174","19903","R",0
" 0","B10","1174","19903","R",0.5642361484375
" 0","B11","1174","19903","R",0.1274956640625
" 0","B12","1174","19903","R",0
